Angle (degrees), Length (km),Mean Size,N uQ > 1, N uQ > 2, N uQ > 5, mean Error+,max Error+
0.000000,50.000000,1431.000000,630.000000,290.000000,61.000000,0.722952,13.600000
3.000000,50.000000,1398.000000,639.000000,293.000000,60.000000,0.733856,16.700001
6.000000,50.000000,1404.000000,673.000000,296.000000,69.000000,0.757434,15.000000
9.000000,50.000000,1405.000000,654.000000,303.000000,40.000000,0.724104,12.000000
12.000000,50.000000,1389.000000,650.000000,299.000000,48.000000,0.749906,15.300000
15.000000,50.000000,665.500000,668.000000,298.000000,50.000000,0.745152,13.600000
18.000000,50.000000,1272.000000,657.000000,300.000000,40.000000,0.746436,13.400000
21.000000,50.000000,1291.000000,687.000000,305.000000,56.000000,0.772198,13.099999
24.000000,50.000000,1337.000000,681.000000,281.000000,38.000000,0.749701,12.400000
27.000000,50.000000,1334.000000,695.000000,287.000000,34.000000,0.744191,10.900000
30.000000,50.000000,1372.000000,675.000000,282.000000,28.000000,0.748694,13.400000
33.000000,50.000000,1388.000000,681.000000,273.000000,31.000000,0.735676,14.300000
36.000000,50.000000,1437.000000,692.000000,268.000000,32.000000,0.761906,10.500000
39.000000,50.000000,711.500000,675.000000,236.000000,36.000000,0.755727,10.600000
42.000000,50.000000,1295.000000,622.000000,221.000000,30.000000,0.727051,11.300000
45.000000,50.000000,1235.000000,588.000000,219.000000,32.000000,0.702988,8.900000
48.000000,50.000000,1210.000000,571.000000,217.000000,36.000000,0.697137,10.700000
51.000000,50.000000,1137.000000,537.000000,236.000000,41.000000,0.708414,13.100000
54.000000,50.000000,1066.000000,523.000000,225.000000,53.000000,0.734043,15.099999
57.000000,50.000000,1011.000000,504.000000,251.000000,58.000000,0.743046,12.400000
60.000000,50.000000,987.000000,518.000000,270.000000,84.000000,0.809860,16.000000
63.000000,50.000000,926.000000,510.000000,281.000000,67.000000,0.778732,15.800000
66.000000,50.000000,456.500000,482.000000,228.000000,43.000000,0.704759,13.900001
69.000000,50.000000,367.000000,435.000000,189.000000,27.000000,0.629809,14.400000
72.000000,50.000000,384.000000,405.000000,159.000000,26.000000,0.603324,21.799999
75.000000,50.000000,363.000000,369.000000,162.000000,20.000000,0.575927,10.299999
78.000000,50.000000,353.000000,357.000000,141.000000,21.000000,0.581860,17.299999
81.000000,50.000000,373.500000,349.000000,164.000000,23.000000,0.613165,11.600000
84.000000,50.000000,363.000000,364.000000,140.000000,26.000000,0.602659,10.200000
87.000000,50.000000,327.000000,348.000000,164.000000,22.000000,0.633695,8.200000
90.000000,50.000000,296.000000,268.000000,86.000000,12.000000,0.509910,10.400000
93.000000,50.000000,277.500000,246.000000,107.000000,12.000000,0.498994,8.300000
96.000000,50.000000,273.000000,232.000000,102.000000,17.000000,0.480963,11.600000
99.000000,50.000000,272.500000,251.000000,102.000000,17.000000,0.468425,8.000000
102.000000,50.000000,158.666667,246.000000,113.000000,22.000000,0.460466,8.700000
105.000000,50.000000,196.000000,227.000000,110.000000,12.000000,0.470950,6.800000
108.000000,50.000000,127.000000,237.000000,85.000000,10.000000,0.487109,10.500000
111.000000,50.000000,197.500000,253.000000,125.000000,20.000000,0.547194,10.600000
114.000000,50.000000,156.666667,272.000000,134.000000,18.000000,0.593743,6.900000
117.000000,50.000000,167.666667,275.000000,131.000000,23.000000,0.599786,8.600000
120.000000,50.000000,146.250000,306.000000,146.000000,27.000000,0.694178,10.700000
123.000000,50.000000,117.800000,261.000000,113.000000,27.000000,0.623804,14.300000
126.000000,50.000000,110.500000,257.000000,133.000000,41.000000,0.697093,19.299999
129.000000,50.000000,100.750000,229.000000,122.000000,43.000000,0.693665,16.200001
132.000000,50.000000,94.800000,236.000000,114.000000,36.000000,0.659677,13.600000
135.000000,50.000000,125.000000,231.000000,107.000000,23.000000,0.597512,13.100000
138.000000,50.000000,172.000000,298.000000,116.000000,22.000000,0.655776,11.100000
141.000000,50.000000,189.750000,296.000000,119.000000,20.000000,0.691006,9.200000
144.000000,50.000000,259.333333,344.000000,118.000000,15.000000,0.751124,8.600000
147.000000,50.000000,205.750000,367.000000,163.000000,21.000000,0.853394,13.400000
150.000000,50.000000,381.500000,407.000000,199.000000,30.000000,0.924963,12.100000
153.000000,50.000000,406.500000,494.000000,212.000000,47.000000,1.016220,11.400000
156.000000,50.000000,310.666667,569.000000,276.000000,58.000000,1.112136,15.600000
159.000000,50.000000,460.000000,590.000000,310.000000,67.000000,1.133093,16.200001
162.000000,50.000000,457.000000,601.000000,311.000000,69.000000,1.135212,23.100000
165.000000,50.000000,503.500000,609.000000,343.000000,80.000000,1.171499,17.200001
168.000000,50.000000,527.000000,625.000000,345.000000,83.000000,1.171658,18.200001
171.000000,50.000000,534.500000,672.000000,347.000000,83.000000,1.194584,20.100000
174.000000,50.000000,562.500000,648.000000,365.000000,84.000000,1.140254,21.700001
177.000000,50.000000,556.000000,680.000000,368.000000,91.000000,1.139145,16.400000
180.000000,50.000000,552.500000,702.000000,407.000000,90.000000,1.083323,18.700001
183.000000,50.000000,554.500000,689.000000,392.000000,79.000000,1.047307,17.000000
186.000000,50.000000,356.333333,706.000000,429.000000,82.000000,1.082622,14.400000
189.000000,50.000000,371.333333,703.000000,448.000000,123.000000,1.139999,14.900000
192.000000,50.000000,581.000000,733.000000,466.000000,129.000000,1.190284,19.600000
195.000000,50.000000,604.500000,735.000000,483.000000,131.000000,1.208719,17.600000
198.000000,50.000000,628.000000,745.000000,479.000000,137.000000,1.216627,18.100000
201.000000,50.000000,620.000000,732.000000,460.000000,130.000000,1.183351,19.900000
204.000000,50.000000,1251.000000,772.000000,450.000000,127.000000,1.163932,17.900000
207.000000,50.000000,1254.000000,783.000000,460.000000,132.000000,1.173744,27.100000
210.000000,50.000000,1216.000000,791.000000,463.000000,142.000000,1.172717,19.400000
213.000000,50.000000,1266.000000,789.000000,456.000000,153.000000,1.179192,17.200001
216.000000,50.000000,688.500000,806.000000,453.000000,127.000000,1.135488,19.400000
219.000000,50.000000,692.500000,775.000000,459.000000,140.000000,1.174749,23.700001
222.000000,50.000000,686.000000,780.000000,448.000000,140.000000,1.152694,24.900000
