latitude,longitude,distance(km),direction angle(degrees)
55.000000,-129.214978,50.067506,90.000000
54.958915,-129.216054,50.232652,93.000000
54.918755,-129.227008,50.170179,96.000000
54.879615,-129.239920,50.361006,99.000000
54.843153,-129.262094,50.276306,102.000000
54.808596,-129.285672,50.383189,105.000000
54.778195,-129.317353,50.143195,108.000000
54.750337,-129.349605,50.020807,111.000000
54.722223,-129.376103,50.480937,114.000000
54.699070,-129.409392,50.489783,117.000000
54.681505,-129.448350,50.019191,120.000000
54.663273,-129.481486,50.047238,123.000000
54.647285,-129.514530,50.053134,126.000000
54.633467,-129.547370,50.020690,129.000000
54.617960,-129.575702,50.437085,132.000000
54.608151,-129.608151,50.290751,135.000000
54.600292,-129.640101,50.075227,138.000000
54.590240,-129.668183,50.283622,141.000000
54.581841,-129.696189,50.411824,144.000000
54.575055,-129.724037,50.455751,147.000000
54.569841,-129.751647,50.412651,150.000000
54.566153,-129.778944,50.280938,153.000000
54.563943,-129.805855,50.060049,156.000000
54.558792,-129.830636,50.247943,159.000000
54.554983,-129.855405,50.345022,162.000000
54.552500,-129.880093,50.350427,165.000000
54.551325,-129.904631,50.263941,168.000000
54.551434,-129.928954,50.085947,171.000000
54.548331,-129.952528,50.315561,174.000000
54.546465,-129.976231,50.453828,177.000000
54.545843,-130.000000,50.500000,180.000000
54.546465,-130.023769,50.453828,183.000000
54.548331,-130.047472,50.315561,186.000000
54.551434,-130.071046,50.085947,189.000000
54.551325,-130.095369,50.263941,192.000000
54.552500,-130.119907,50.350427,195.000000
54.554983,-130.144595,50.345022,198.000000
54.558792,-130.169364,50.247943,201.000000
54.563943,-130.194145,50.060049,204.000000
54.566153,-130.221056,50.280938,207.000000
54.569841,-130.248353,50.412651,210.000000
54.575055,-130.275963,50.455751,213.000000
54.581841,-130.303811,50.411824,216.000000
54.590240,-130.331817,50.283622,219.000000
54.600292,-130.359899,50.075227,222.000000
54.608151,-130.391849,50.290751,225.000000
54.617960,-130.424298,50.437085,228.000000
54.633467,-130.452630,50.020690,231.000000
54.647285,-130.485470,50.053134,234.000000
54.663273,-130.518514,50.047238,237.000000
54.681505,-130.551650,50.019191,240.000000
54.699070,-130.590608,50.489783,243.000000
54.722223,-130.623897,50.480937,246.000000
54.750337,-130.650395,50.020807,249.000000
54.778195,-130.682647,50.143195,252.000000
54.808596,-130.714328,50.383189,255.000000
54.843153,-130.737906,50.276306,258.000000
54.879615,-130.760080,50.361006,261.000000
54.918755,-130.772992,50.170179,264.000000
54.958915,-130.783946,50.232652,267.000000
55.000000,-130.785022,50.067506,270.000000
55.041085,-130.783946,50.181661,273.000000
55.081245,-130.772992,50.071976,276.000000
55.120385,-130.760080,50.220789,279.000000
55.156847,-130.737906,50.103777,282.000000
55.191404,-130.714328,50.186260,285.000000
55.224023,-130.689473,50.432027,288.000000
55.252160,-130.656899,50.303247,291.000000
55.277777,-130.623897,50.263300,294.000000
55.300930,-130.590608,50.278545,297.000000
55.321680,-130.557167,50.319557,300.000000
55.340094,-130.523699,50.361194,303.000000
55.356242,-130.490325,50.382447,306.000000
55.370198,-130.457156,50.366153,309.000000
55.382040,-130.424298,50.298632,312.000000
55.391849,-130.391849,50.169301,315.000000
55.403705,-130.363498,50.469457,318.000000
55.409760,-130.331817,50.192569,321.000000
55.418159,-130.303811,50.334136,324.000000
55.424945,-130.275963,50.390677,327.000000
55.430159,-130.248353,50.359261,330.000000
55.433847,-130.221056,50.238170,333.000000
55.436057,-130.194145,50.026749,336.000000
55.441208,-130.169364,50.222399,339.000000
55.445017,-130.144595,50.326280,342.000000
55.447500,-130.119907,50.337469,345.000000
55.448675,-130.095369,50.255709,348.000000
55.448566,-130.071046,50.081363,351.000000
55.451669,-130.047472,50.313509,354.000000
55.453535,-130.023769,50.453313,357.000000
55.454157,-130.000000,50.500000,0.000000
55.453535,-129.976231,50.453313,3.000000
55.451669,-129.952528,50.313509,6.000000
55.448566,-129.928954,50.081363,9.000000
55.448675,-129.904631,50.255709,12.000000
55.447500,-129.880093,50.337469,15.000000
55.445017,-129.855405,50.326280,18.000000
55.441208,-129.830636,50.222399,21.000000
55.436057,-129.805855,50.026749,24.000000
55.433847,-129.778944,50.238170,27.000000
55.430159,-129.751647,50.359261,30.000000
55.424945,-129.724037,50.390677,33.000000
55.418159,-129.696189,50.334136,36.000000
55.409760,-129.668183,50.192569,39.000000
55.403705,-129.636502,50.469457,42.000000
55.391849,-129.608151,50.169301,45.000000
55.382040,-129.575702,50.298632,48.000000
55.370198,-129.542844,50.366153,51.000000
55.356242,-129.509675,50.382447,54.000000
55.340094,-129.476301,50.361194,57.000000
55.321680,-129.442833,50.319557,60.000000
55.300930,-129.409392,50.278545,63.000000
55.277777,-129.376103,50.263300,66.000000
55.252160,-129.343101,50.303247,69.000000
55.224023,-129.310527,50.432027,72.000000
55.191404,-129.285672,50.186260,75.000000
55.156847,-129.262094,50.103777,78.000000
55.120385,-129.239920,50.220789,81.000000
55.081245,-129.227008,50.071976,84.000000
55.041085,-129.216054,50.181661,87.000000
55.000000,-129.214978,50.067506,90.000000
